रोग,हिंदी नाम,मराठी नाम,लक्षण,निदान एवं परीक्षण,लक्षण गंभीरता,उपचार की अवधि,चिकित्सा इतिहास,वर्तमान दवाएँ,जोखिम कारक,पर्यावरणीय कारक,नींद के पैटर्न,तनाव का स्तर,शारीरिक गतिविधि का स्तर,पारिवारिक इतिहास,आहार संबंधी आदतें,एलर्जी (खाद्य/पर्यावरण),मौसमी बदलाव,आयु समूह,लिंग,व्यवसाय और जीवनशैली,सांस्कृतिक प्राथमिकताएँ,हर्बल/वैकल्पिक उपचार,आयुर्वेदिक जड़ी बूटियाँ,सूत्रीकरण,दोष,संविधान/प्रकृति,आहार और जीवनशैली संबंधी सिफारिशें,योग और भौतिक चिकित्सा,चिकित्सा हस्तक्षेप,रोकथाम,रोग का निदान,जटिलताओं,रोगी की सिफारिशें
रेट सिंड्रोम,रेट सिंड्रोम,रेट सिंड्रोम,"मोटर कौशल की हानि, दौरे, असामान्य हाथ की हरकतें","आनुवंशिक परीक्षण, शारीरिक परीक्षण",गंभीर,जिंदगी भर,"आनुवंशिक, विकासात्मक देरी",लक्षण-विशिष्ट चिकित्सा,"आनुवंशिक उत्परिवर्तन, पारिवारिक इतिहास",आनुवंशिक,अनियमित नींद,उच्च तनाव,कम,रेट सिंड्रोम का पारिवारिक इतिहास,"संतुलित, उच्च पोषक आहार",कोई नहीं,सभी मौसम,बचपन,महिला,विशेष देखभाल की आवश्यकता है,अतिउत्तेजना से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"ब्राह्मी (2 ग्राम), अश्वगंधा (5 ग्राम), गर्म पानी (200 मिली)","वात, पित्त",वात-प्रकृति,संज्ञानात्मक और मोटर विकास का समर्थन करें; संतुलित आहार सुनिश्चित करें।,कोई विशिष्ट नहीं,"सहायक देखभाल, दवाएँ","आनुवंशिक परामर्श, प्रारंभिक निदान",सहायक देखभाल से प्रबंधित किया जा सकता है,"विकासात्मक देरी, दौरे","शीघ्र निदान, नियमित निगरानी"
आमवाती हृदय रोग,रुमेटिक हार्ट डिजीज,रुमेटिक हार्ट रोग,"सीने में दर्द, दिल की धड़कन, सांस लेने में कठिनाई","रक्त परीक्षण, इकोकार्डियोग्राम",गंभीर,जिंदगी भर,"गले में खराश, हृदय संबंधी जटिलताएं","एंटीबायोटिक्स, सर्जरी","स्ट्रेप थ्रोट, संक्रमण का खराब उपचार",पिछला स्ट्रेप गले का संक्रमण,अनियमित नींद,उच्च तनाव,कम,हृदय रोग का पारिवारिक इतिहास,"कम वसा, उच्च फाइबर आहार",कोई नहीं,सभी मौसम,"बचपन, वयस्क",दोनों लिंग,नियमित चिकित्सा जांच,ज़ोरदार गतिविधियों से बचता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"लहसुन (2 लौंग), अदरक (2 ग्राम), गर्म पानी (200 मिली)","वात, कफ",वात-कफ,हृदय स्वास्थ्य पर ध्यान दें; नमकीन और वसायुक्त खाद्य पदार्थों से बचें; तनाव का प्रबंधन करें।,कोई विशिष्ट नहीं,"सर्जरी, दवाएं","संक्रमण का तुरंत इलाज करें, अच्छी स्वच्छता",उपचार से प्रबंधित किया जा सकता है,"हृदय वाल्व क्षति, हृदय विफलता",संक्रमण का शीघ्र उपचार
रुमेटीइड गठिया,रुमेटॉयड आर्थ्राइटिस,रुमेटॉयड आर्थ्राइटिस,"जोड़ों में दर्द, अकड़न, सूजन, थकान","रक्त परीक्षण, शारीरिक परीक्षण, एक्स-रे",गंभीर,जिंदगी भर,"स्वप्रतिरक्षी विकार, जोड़ों का दर्द",सूजनरोधी दवाएं,"आनुवंशिकी, संक्रमण, आयु","आनुवंशिक, पर्यावरणीय कारक",अनियमित नींद,उच्च तनाव,कम,गठिया का पारिवारिक इतिहास,"सूजनरोधी, ग्लूटेन-मुक्त आहार",कोई नहीं,सभी मौसम,"वयस्क, बुजुर्ग",दोनों लिंग,फिजियोथेरेपी की आवश्यकता है,जोड़ों के तनाव से बचाता है,"हर्बल उपचार, आहार परिवर्तन","अश्वगंधा, गुग्गुल","हल्दी (1/2 छोटा चम्मच), अदरक (2 ग्राम), दूध (200 मिली)","वात, कफ",वात-कफ,सूजनरोधी खाद्य पदार्थों का सेवन करें; हल्के व्यायाम और स्ट्रेचिंग का अभ्यास करें।,जोड़ों के स्वास्थ्य के लिए योग,"दर्द निवारक, रोग-संशोधित दवाएं","स्वस्थ आहार, नियमित व्यायाम",दवा से प्रबंधित किया जा सकता है,"संयुक्त विकृतियाँ, गतिशीलता संबंधी समस्याएं","नियमित निगरानी, संयुक्त सुरक्षा"
रिकेट्सियल रोग,रिकेट्सियल रोग,रिकेट्सियल रोग,"बुखार, दाने, सिरदर्द, मांसपेशियों में दर्द","रक्त परीक्षण, पीसीआर परीक्षण",गंभीर,1-2 सप्ताह,"जीवाणु संक्रमण, टिक के काटने से",एंटीबायोटिक दवाओं,"कीड़े के काटने, खराब स्वच्छता","टिक के संपर्क में आना, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"हाइड्रेटिंग, कम चीनी वाला आहार",कोई नहीं,सभी मौसम,"वयस्क, बच्चे",दोनों लिंग,बाहरी जोखिम से बचाता है,अस्वास्थ्यकर क्षेत्रों से बचें,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,प्रतिरक्षा स्वास्थ्य पर ध्यान दें; टिक्स के संपर्क से बचें; हाइड्रेटेड रहें।,कोई विशिष्ट नहीं,एंटीबायोटिक दवाओं,"कीड़ों के काटने से बचें, अच्छी स्वच्छता",दवा से प्रबंधित किया जा सकता है,"अंग क्षति, बुखार","कीड़ों के काटने से बचें, अच्छी स्वच्छता"
रिफ्ट वैली बुखार,रिफ्ट वैली बुखार,रिफ्ट वैली बुखार,"बुखार, सिरदर्द, मांसपेशियों में दर्द, जोड़ों में दर्द","रक्त परीक्षण, सीरोलॉजी परीक्षण",गंभीर,1-2 महीने,मच्छर के काटने से वायरल संक्रमण,लक्षण-विशिष्ट चिकित्सा,संक्रमित जानवरों के साथ संपर्क,"मच्छरों का जोखिम, ग्रामीण क्षेत्र",अनियमित नींद,मध्यम तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,बरसात का मौसम,"वयस्क, बच्चे",दोनों लिंग,मच्छरों के संपर्क से बचाता है,मच्छरदानी का उपयोग करता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"अश्वगंधा (5 ग्राम), त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,"ठंडे, शांत वातावरण में आराम करें; तनाव से बचें और जलयोजन बनाए रखें।",कोई विशिष्ट नहीं,एंटीवायरल दवाएं,"जानवरों के संपर्क से बचें, अच्छी स्वच्छता",दवा से प्रबंधित किया जा सकता है,"यकृत क्षति, तंत्रिका संबंधी समस्याएं","जानवरों के संपर्क से बचें, अच्छी स्वच्छता"
रॉकी माउंटेन स्पॉटेड बुखार,रॉकी माउंटेन स्पॉटेड फीवर,रॉकी माउंटेन स्पॉटेड फीवर,"बुखार, दाने, सिरदर्द, मांसपेशियों में दर्द","रक्त परीक्षण, पीसीआर परीक्षण",गंभीर,1-2 सप्ताह,टिक के काटने से जीवाणु संक्रमण,एंटीबायोटिक दवाओं,"कीड़े के काटने, खराब स्वच्छता","टिक के संपर्क में आना, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"हाइड्रेटिंग, कम चीनी वाला आहार",कोई नहीं,"ग्रीष्म, वर्षा ऋतु","वयस्क, बच्चे",दोनों लिंग,टिक-संक्रमित क्षेत्रों से बचता है,बाहरी जोखिम से बचाता है,कोई विशिष्ट नहीं,कोई विशिष्ट नहीं,"नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,टिक्स के संपर्क से बचें; प्राकृतिक निरोधकों का उपयोग करें; अच्छी तरह से हाइड्रेट करें।,कोई विशिष्ट नहीं,एंटीबायोटिक दवाओं,"कीड़ों के काटने से बचें, अच्छी स्वच्छता",दवा से प्रबंधित किया जा सकता है,"अंग क्षति, बुखार","कीड़ों के काटने से बचें, अच्छी स्वच्छता"
Rosacea,कातिल कातिल कातिल कातिल,कातिल कातिल कातिल कातिल,"लालिमा, दिखाई देने वाली रक्त वाहिकाएं, चेहरे पर फुंसियां","शारीरिक परीक्षण, त्वचा बायोप्सी",मध्यम से गंभीर,जिंदगी भर,"त्वचा की स्थिति, फ्लशिंग","सामयिक क्रीम, मौखिक एंटीबायोटिक्स","आनुवंशिकी, सूर्य के संपर्क में आना, तनाव","गर्म, ठंडा मौसम, सूर्य के संपर्क में आना",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,"सर्दी, गर्मी",वयस्क,दोनों लिंग,गर्म पेय से बचें,मसालेदार भोजन से बचें,"हर्बल उपचार, आहार परिवर्तन","एलोवेरा, हल्दी","एलोवेरा (2 चम्मच), हल्दी (1/2 चम्मच)",पित्त,पित्त-प्रकृति,त्वचा की देखभाल की सौम्य दिनचर्या बनाए रखें; मसालेदार और गर्म खाद्य पदार्थों से बचें।,कोई विशिष्ट नहीं,"सामयिक उपचार, लेजर थेरेपी","सूर्य संरक्षण, तनाव प्रबंधन",उपचार से प्रबंधित किया जा सकता है,"त्वचा का लाल होना, आँखों में जलन","सूर्य संरक्षण, नियमित निगरानी"
सिस्टोसोमियासिस,शिस्टोसोमियासिस,शिस्टोसोमियासिस,"पेट दर्द, दस्त, पेशाब में खून, थकान","मल या मूत्र विश्लेषण, रक्त परीक्षण",गंभीर,1-2 महीने,"परजीवी संक्रमण, जलजनित",परजीवी रोधी औषधियाँ,"दूषित जल, खराब स्वच्छता","मीठे पानी के स्रोत, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"हाइड्रेटिंग, कम चीनी वाला आहार",कोई नहीं,बरसात का मौसम,"वयस्क, बच्चे",दोनों लिंग,दूषित पानी से बचता है,सार्वजनिक स्नान से बचें,"नागदौना, अदरक","नीम, हल्दी","नीम के पत्ते (5-6), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-प्रकृति,विषहरण पर ध्यान केन्द्रित करें; दूषित जल स्रोतों से बचें।,कोई नहीं,एंटीपैरासिटिक दवाएं (प्राज़िक्वेंटेल),दूषित पानी से बचें,शीघ्र हस्तक्षेप से उपचार संभव,"अंग क्षति, हेपेटाइटिस, मूत्राशय कैंसर","सुरक्षित जल स्रोतों का उपयोग करें, निर्धारित अनुसार दवाएँ लें"
पार्श्वकुब्जता,स्कोलियोसिस,स्कोलियोसिस,"असमान कंधे, पीठ दर्द, सीधे खड़े होने में कठिनाई","एक्स-रे, एमआरआई",मध्यम से गंभीर,चर,"रीढ़ की हड्डी की विकृति, आनुवंशिक","भौतिक चिकित्सा, सर्जरी","आनुवंशिकी, मांसपेशियों में असंतुलन, चोट","खराब मुद्रा, आघात",अनियमित नींद,मध्यम तनाव,कम,स्कोलियोसिस का पारिवारिक इतिहास,"संतुलित, उच्च पोषक आहार",कोई नहीं,सभी मौसम,"बच्चे, वयस्क",दोनों लिंग,पीठ के सहारे की आवश्यकता है,भारी सामान उठाने से बचता है,कोई नहीं,"अश्वगंधा, गुग्गुल","अश्वगंधा (5 ग्राम), त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,अच्छी मुद्रा बनाए रखें; मजबूत बनाने वाले व्यायाम और संतुलित आहार शामिल करें।,रीढ़ की हड्डी के लचीलेपन के लिए योग,"भौतिक चिकित्सा, सर्जरी",शीघ्र निदान और हस्तक्षेप,गंभीरता के आधार पर परिवर्तनशील,"श्वसन संबंधी समस्याएं, तंत्रिका क्षति","आसन बनाए रखें, नियमित व्यायाम करें"
सेबोरहाइक डर्माटाइटिस,सेबोरहाइक डर्मेटाइटिस,सेबोरहाइक डर्मेटाइटिस,"लाल, खुजली वाली त्वचा, रूसी, परतदारपन","शारीरिक परीक्षण, त्वचा बायोप्सी",मध्यम से गंभीर,चल रहा प्रबंधन,"त्वचा की स्थिति, यीस्ट संक्रमण","सामयिक एंटीफंगल, स्टेरॉयड","तनाव, आनुवंशिकी, तैलीय त्वचा","गर्म, आर्द्र मौसम, तैलीय त्वचा",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,"सर्दी, वसंत","वयस्क, बच्चे",दोनों लिंग,चिकना भोजन से बचें,हल्की त्वचा देखभाल का उपयोग करता है,"चाय के पेड़ का तेल, एलोवेरा","नीम, हल्दी","नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,त्वचा की देखभाल की सौम्य दिनचर्या का पालन करें; मसालेदार और तैलीय खाद्य पदार्थों से बचें।,"प्राणायाम, खोपड़ी की मालिश","सामयिक एंटीफंगल, स्टेरॉयड","तनाव, कठोर साबुन जैसे ट्रिगर्स से बचें","क्रोनिक, भड़कने की संभावना","संक्रमण, बालों का झड़ना","औषधीय शैंपू का प्रयोग करें, तनाव कम करें"
सेप्टिकमिक प्लेग,सेप्टीमिक प्लेग,सेप्टीमिक प्लेग,"बुखार, ठंड लगना, लिम्फ नोड्स में सूजन, सेप्टिक शॉक","रक्त संवर्धन, पीसीआर परीक्षण",गंभीर,तत्काल उपचार (सप्ताह),"जीवाणु संक्रमण, पिस्सू के काटने","एंटीबायोटिक्स, IV तरल पदार्थ","संक्रमित जानवरों के संपर्क में आना, पिस्सू के काटने से","कृन्तकों का संपर्क, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"हाइड्रेटिंग, कम चीनी वाला आहार",कोई नहीं,"ग्रीष्म, वर्षा ऋतु","वयस्क, बच्चे",दोनों लिंग,कृन्तकों के संपर्क से बचाता है,अस्वास्थ्यकर क्षेत्रों से बचें,कोई नहीं,कोई नहीं,"नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,संक्रमित व्यक्तियों के संपर्क से बचें; प्रतिरक्षा बढ़ाने वाले खाद्य पदार्थों पर ध्यान केंद्रित करें।,कोई नहीं,"एंटीबायोटिक्स (स्ट्रेप्टोमाइसिन, डॉक्सीसाइक्लिन)",तत्काल चिकित्सा ध्यान,"यदि उपचार न किया जाए तो घातक, लेकिन एंटीबायोटिक दवाओं से उपचार संभव","अंग विफलता, सेप्टिक शॉक",तुरंत चिकित्सा सहायता लें
यौन रोग,यौन कार्य में दोष,यौन कार्यातील दोष,"कम कामेच्छा, स्तंभन दोष, शीघ्रपतन","रक्त परीक्षण, हार्मोन परीक्षण, मनोवैज्ञानिक मूल्यांकन",मध्यम से गंभीर,चल रहा प्रबंधन,"तनाव, हार्मोनल असंतुलन","हार्मोन थेरेपी, मनोचिकित्सा","आयु, तनाव, मोटापा, मधुमेह","मनोवैज्ञानिक तनाव, रिश्ते संबंधी समस्याएं",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,सभी मौसम,वयस्क,दोनों लिंग,परामर्श की आवश्यकता है,तनाव से बचाता है,"मैका जड़, जिनसेंग","अश्वगंधा, शतावरी","अश्वगंधा (5 ग्राम), शतावरी (5 ग्राम), गर्म पानी (200 मिली)","वात, कफ",वात-कफ,तनाव कम करने पर ध्यान दें; एंटीऑक्सीडेंट से भरपूर स्वस्थ आहार बनाए रखें।,कोई नहीं,"वियाग्रा, थेरेपी, हार्मोन प्रतिस्थापन","स्वस्थ जीवन शैली, तनाव प्रबंधन",उपचार से प्रबंधित किया जा सकता है,"अवसाद, रिश्ते संबंधी समस्याएं","आहार, व्यायाम, चिकित्सा में सुधार करें"
सिकल सेल एनीमिया,सिकल सेल ए�ीमिया,सिकल सेल अ�ीमिया,"थकान, दर्द, हाथ/पैरों में सूजन, बार-बार संक्रमण","रक्त परीक्षण, हीमोग्लोबिन वैद्युतकणसंचलन",गंभीर,आजीवन प्रबंधन,"आनुवंशिक, रक्त विकार","दर्द प्रबंधन, रक्त आधान",आनुवंशिकी (सिकल जीन की विरासत),"आनुवंशिक, कम ऑक्सीजन वाला वातावरण",अनियमित नींद,उच्च तनाव,कम,एनीमिया का पारिवारिक इतिहास,"उच्च कैलोरी, आयरन युक्त आहार",कोई नहीं,सभी मौसम,"बच्चे, वयस्क",दोनों लिंग,जलयोजन की आवश्यकता है,निर्जलीकरण से बचाता है,कोई नहीं,"अश्वगंधा, गुडमार","मेथी (3 ग्राम), त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,जलयोजन बनाए रखें; पालक और दाल जैसे लौह युक्त खाद्य पदार्थ शामिल करें।,कोई नहीं,"रक्त आधान, दर्द प्रबंधन","शीघ्र निदान, दर्द प्रबंधन","क्रोनिक, उपचार से प्रबंधित किया जा सकता है","स्ट्रोक, अंग क्षति, संक्रमण","नियमित चिकित्सा जांच, जलयोजन"
स्जोग्रेन सिंड्रोम,स्जोग्रेन सिंड्रोम,स्जोग्रेन सिंड्रोम,"शुष्क मुँह, सूखी आँखें, जोड़ों का दर्द, थकान","रक्त परीक्षण (एएनए, एसएसए), होंठ बायोप्सी",मध्यम से गंभीर,चल रहा प्रबंधन,"स्वप्रतिरक्षी विकार, सूखी आंखें","एंटीऑक्सीडेंट, मॉइस्चराइज़र","आनुवंशिकी, स्वप्रतिरक्षी विकार","स्वप्रतिरक्षी, शुष्क वातावरण",अनियमित नींद,उच्च तनाव,कम,स्वप्रतिरक्षी रोगों का पारिवारिक इतिहास,"हाइड्रेटिंग, कम सोडियम वाला आहार",कोई नहीं,"सर्दी, वसंत","वयस्क, बुजुर्ग",दोनों लिंग,विशेष देखभाल की आवश्यकता है,धूम्रपान से बचें,कोई नहीं,"अश्वगंधा, गुग्गुल","अश्वगंधा (5 ग्राम), त्रिफला (1 छोटा चम्मच), गर्म पानी (200 मिली)","वात, पित्त",वात-कफ,हाइड्रेटेड रहें; शुष्क और ठंडे वातावरण से बचें; सूजन-रोधी खाद्य पदार्थ शामिल करें।,कोई नहीं,"प्रतिरक्षादमनकारी, आंखों की बूंदें","हाइड्रेटेड रहें, धूम्रपान से बचें","दीर्घकालिक, समय के साथ बिगड़ सकता है","शुष्क मुँह, आँखों की समस्याएँ, थकान","कृत्रिम आँसू, आराम, जलयोजन का उपयोग करें"
त्वचा कैंसर (मेलेनोमा),त्वचा का कै�सर (मेलनोमा),(मेल२ोमा),"त्वचा में परिवर्तन, अनियमित तिल, खुजली, रक्तस्राव","त्वचा बायोप्सी, डर्मोस्कोपी",गंभीर,"शल्य चिकित्सा द्वारा हटाना, विकिरण","सूर्य के संपर्क में आना, पारिवारिक इतिहास","सर्जरी, कीमोथेरेपी","सूर्य के संपर्क में आना, गोरी त्वचा, आनुवंशिकी","सूर्य के संपर्क में आना, गोरी त्वचा",अनियमित नींद,उच्च तनाव,कम,मेलेनोमा का पारिवारिक इतिहास,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,"ग्रीष्म, वसंत",वयस्क,दोनों लिंग,अत्यधिक धूप से बचता है,सनस्क्रीन का उपयोग करता है,"एलोवेरा, हल्दी","नीम, हल्दी","एलोवेरा (2 चम्मच), हल्दी (1/2 चम्मच)",पित्त,पित्त-प्रकृति,त्वचा को धूप से बचाएं; जामुन जैसे एंटीऑक्सीडेंट युक्त खाद्य पदार्थों पर ध्यान केंद्रित करें।,कोई नहीं,"सर्जरी, कीमोथेरेपी, विकिरण","धूप में निकलने से बचें, सनस्क्रीन का प्रयोग करें",यदि समय रहते पता चल जाए तो उपचार संभव है,"मेटास्टेसिस, अंग विफलता","नियमित त्वचा जांच, धूप से बचें"
त्वचा रोग,त्वचा रोग,त्वचा रोग,"लालिमा, जलन, खुजली, घाव","नैदानिक परीक्षा, बायोप्सी",मध्यम से गंभीर,प्रकार के आधार पर भिन्न होता है,"संक्रमण, एलर्जी","सामयिक उपचार, मौखिक एंटीबायोटिक्स","खराब स्वच्छता, एलर्जी, आनुवंशिकी","पर्यावरणीय कारक, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"संतुलित, उच्च पोषक आहार","धूल, पराग",सभी मौसम,सभी उम्र,दोनों लिंग,स्वच्छता प्रथाओं की आवश्यकता है,कठोर रसायनों से बचता है,"एलोवेरा, चाय के पेड़ का तेल","नीम, हल्दी","नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,त्वचा की देखभाल की सौम्य दिनचर्या का पालन करें; कठोर रसायनों और मसालेदार खाद्य पदार्थों से बचें।,"प्राणायाम, जलयोजन","सामयिक उपचार, स्टेरॉयड","नियमित सफाई, ट्रिगर्स से बचें",रोग के आधार पर भिन्न होता है,"द्वितीयक संक्रमण, घाव","त्वचा की अच्छी देखभाल करें, हल्के साबुन का प्रयोग करें"
"त्वचा संक्रमण (बैक्टीरियल, फंगल, वायरल)","त्वचा स�क्रमण (बैक्�ीरियल, फंगल, वायरल)","त्वचा स�स�्ग (बॅ�क्�ेरिФ�ल, फंगल, व्�ा�रल)","लालिमा, सूजन, खुजली, स्राव","स्वाब, रक्त परीक्षण, त्वचा बायोप्सी",मध्यम से गंभीर,1-2 सप्ताह (प्रकार पर निर्भर करता है),"संक्रमण, खराब स्वच्छता","एंटीबायोटिक्स, एंटीफंगल","खराब स्वच्छता, कमजोर प्रतिरक्षा प्रणाली","खराब स्वच्छता, रोगाणुओं के संपर्क में आना",अनियमित नींद,उच्च तनाव,कम,त्वचा संबंधी समस्याओं का पारिवारिक इतिहास,"संतुलित, उच्च पोषक आहार","धूल, पराग",सभी मौसम,सभी उम्र,दोनों लिंग,स्वच्छता प्रथाओं की आवश्यकता है,कठोर रसायनों से बचता है,"लहसुन, चाय के पेड़ का तेल","नीम, हल्दी","टी ट्री ऑयल (3-4 बूंदें), हल्दी (1/2 चम्मच), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,स्वच्छता पर ध्यान दें; व्यक्तिगत वस्तुओं को साझा करने से बचें; स्वस्थ आहार बनाए रखें।,कोई नहीं,"एंटीबायोटिक्स, एंटीफंगल, एंटीवायरल","उचित स्वच्छता, संक्रमित व्यक्तियों के संपर्क से बचें",आमतौर पर उपचार से इलाज संभव है,"फोड़ा बनना, निशान पड़ना","स्वच्छता बनाए रखें, खरोंचने से बचें"
त्वचा पर लाल चकत्ते,त्वचा की चकत्तियां,त्वचेवरीलपुरळ,"त्वचा पर लाल, सूजन वाले, खुजली वाले धब्बे","शारीरिक परीक्षण, एलर्जी परीक्षण",मध्यम से गंभीर,दिनों से लेकर हफ्तों तक भिन्न होता है,"एलर्जी, संक्रमण","सामयिक कॉर्टिकोस्टेरॉइड्स, एंटीहिस्टामाइन","एलर्जी, उत्तेजक पदार्थ, संक्रमण","एलर्जी, उत्तेजक पदार्थ, गर्मी",अनियमित नींद,उच्च तनाव,कम,चकत्ते का पारिवारिक इतिहास,"कम वसा, उच्च प्रोटीन आहार","धूल, पराग",सभी मौसम,सभी उम्र,दोनों लिंग,त्वचा की देखभाल की आवश्यकता है,कठोर रसायनों से बचता है,"एलोवेरा, कैमोमाइल","एलोवेरा, अश्वगंधा","एलोवेरा (2 चम्मच), नीम के पत्ते (5-6), पानी (आवश्यकतानुसार)",पित्त,पित्त-प्रकृति,एलर्जी से बचें; त्वचा को नमीयुक्त रखें; आहार में फाइबर युक्त खाद्य पदार्थ शामिल करें।,"प्राणायाम, जलयोजन","स्टेरॉयड क्रीम, एंटीहिस्टामाइन","एलर्जी से बचें, हाइड्रेट रहें",आमतौर पर उपचार से ठीक हो जाता है,"द्वितीयक संक्रमण, घाव","उचित क्रीम का प्रयोग करें, जलन पैदा करने वाली चीजों से बचें"
स्लीप एपनिया,स्लीप एप्निया,स्लीप एप्निया,"जोर से खर्राटे लेना, नींद के दौरान दम घुटना, दिन में थकान",नींद का अध्ययन (पॉलीसोम्नोग्राफी),मध्यम से गंभीर,चल रहा प्रबंधन,"मोटापा, श्वसन संबंधी समस्याएं","सीपीएपी मशीन, सर्जरी","मोटापा, उम्र, धूम्रपान, शराब का सेवन","मोटापा, धूम्रपान, शराब का सेवन",अनियमित नींद,उच्च तनाव,कम,नींद संबंधी विकारों का पारिवारिक इतिहास,"कम वसा, उच्च प्रोटीन आहार",कोई नहीं,"सर्दी, गर्मी",वयस्क,दोनों लिंग,नियमित नींद कार्यक्रम की आवश्यकता है,शराब से परहेज करता है,कोई नहीं,"अश्वगंधा, ब्राह्मी","अश्वगंधा (5 ग्राम), शतावरी (5 ग्राम), गर्म पानी (200 मिली)","वात, कफ",वात-कफ,नियमित नींद का कार्यक्रम बनाए रखें; गहरी साँस लेने के व्यायाम का अभ्यास करें।,"श्वास व्यायाम, प्राणायाम","सीपीएपी मशीन, सर्जरी, दवाएं","वजन प्रबंधन, शराब से बचें",उपचार से प्रबंधित किया जा सकता है,"हृदय संबंधी समस्याएं, दिन में थकान","वजन बनाए रखें, शराब से बचें"
नींद की बीमारी (ट्रिपैनोसोमियासिस),बीमारी (बीमारी),स्लीप�ंग सिस्टिम (ट्रा�पॅ�ोसोमियास�स),"बुखार, थकान, सिरदर्द, लिम्फ नोड्स में सूजन","रक्त परीक्षण, काठ पंचर",गंभीर,2-3 सप्ताह,"परजीवी संक्रमण, कीड़े के काटने",परजीवी रोधी औषधियाँ,"त्सेत्से मक्खी का काटना, ग्रामीण क्षेत्र","कीड़ों के काटने, खराब स्वच्छता",अनियमित नींद,उच्च तनाव,कम,कोई पारिवारिक इतिहास नहीं,"हाइड्रेटिंग, कम चीनी वाला आहार",कोई नहीं,बरसात का मौसम,"वयस्क, बच्चे",दोनों लिंग,कीटों के संपर्क से बचाता है,अस्वास्थ्यकर क्षेत्रों से बचें,कोई नहीं,कोई नहीं,"नीम के पत्ते (5-6), हल्दी (1/2 छोटा चम्मच), गर्म पानी (200 मिली)",पित्त,पित्त-प्रकृति,मच्छरों के काटने से बचें; प्रतिरक्षा बढ़ाने वाले खाद्य पदार्थों पर ध्यान केंद्रित करें।,कोई नहीं,"एंटीट्रिपैनोसोमल दवाएं (जैसे, मेलार्सोप्रोल)",त्सेत्से मक्खी के संपर्क से बचें,शीघ्र निदान से उपचार संभव,"तंत्रिका संबंधी क्षति, कोमा",तत्काल चिकित्सा सहायता लें
